Código,Nome,Período,Duração,Dependências
CBI199,CITO-HISTOLOGIA A,1,1,
EFD005,METODOLOGIA DO ENSINO DOS ESPORTES,1,1,
EFD006,FORMACAO RITMICA DO MOVIMENTO,1,1,
EFD337,CRESCIMENTO E DESENVOLVIMENTO,1,1,
EFD338,HISTORIA E EDUCACAO FISICA,1,1,
EFD339,"EDUCACAO FISICA, ESPORTE E SOCIEDADE I",1,1,
EFD340,METODOLOGIA DA PESQUISA,1,1,
EFD341,PEDAGOGIA DA EDUCACAO FISICA,1,1,
CBI114,ANATOMIA HUMANA,2,1,
CBI614,BIOQUIMICA,2,1,
EFD007,FUNDAMENTOS GINASTICOS,2,1,
EFD116,DANCAS,2,1,EFD006
EFD120,APRENDIZAGEM MOTORA,2,1,
EFD162,"PLANEJAMENTO, GESTAO DE EVENTOS E COMPETICOES",2,1,
EFD342,"EDUCACAO FISICA, ESPORTE E SOCIEDADE II",2,1,
EFD343,"EDUCACAO FISICA, ATIVIDADE FISICA E SAUDE",2,1,
CBI197,FISIOLOGIA I,3,1,
EAD214,PSICOLOGIA I,3,1,
EFD131,CINESIOLOGIA,3,1,CBI114
EFD160,SOCORROS DE URGENCIA,3,1,
EFD344,HANDEBOL,3,1,
EFD345,ATLETISMO,3,1,
EFD346,JOGOS,3,1,
EFD347,PESQUISA CIENTIFICA EM EDUCACAO FISICA,3,1,EFD340
CBI198,FISIOLOGIA II,4,1,
EFD010,BASQUETEBOL,4,1,
EFD011,NATACAO,4,1,
EFD126,LAZER E EDUCACAO FISICA,4,1,
EFD127,MEDIDAS E AVALIACAO EM EDUCACAO FISICA,4,1,CBI114
EFD348,"EDUCACAO FISICA, ESPORTES, RECREACAO E LAZER PARA
 PESSOAS COM DEFICIENCIAS.",4,1,
EFD132,FISIOLOGIA DO EXERCICIO I,5,1,CBI197
EFD136,"PROCESSO DE ENVELHECIMENTO HUMANO E EDUCACAO
 FISICA",5,1,
EFD142,ESTAGIO SUPERVISIONADO DO BACHARELADO,5,1,
EFD143,BIOMECANICA APLICADA AO DESEMPENHO HUMANO,5,1,EFD131
EFD144,HABILIDADES ESPORTIVAS PARA CRIANCAS E JOVENS,5,1,EFD005;EFD120;EFD337
EFD349,FUTEBOL E FUTSAL,5,1,
EFD350,"EDUCACAO FISICA, CORPO E CULTURA",5,1,
EFD125,GINASTICA RITMICA,6,1,EFD006
EFD134,FISIOLOGIA DO EXERCICIO II,6,1,EFD132
EFD145,TREINAMENTO ESPORTIVO I,6,1,EFD005;EFD132
EFD146,"METODOLOGIA DE PESQUISA EM EDUCACAO FISICA DO
 BACHARELADO",6,1,EFD347
EFD147,"ESTAGIO SUPERVISIONADO - PRATICAS ESPORTIVAS
 INFANTO-JUVENIL",6,1,EFD142;EFD144
EFD161,POLITICAS PUBLICAS ESPORTE E LAZER,6,1,
EFD174,PSICOLOGIA DO ESPORTE,6,1,
EFD115,GINASTICA ARTISTICA,7,1,EFD007
EFD148,EDUCACAO FISICA PARA GRUPOS ESPECIAIS,7,1,EFD132
EFD149,ESTAGIO SUPERVISIONADO - TREINAMENTO ESPORTIVO,7,1,EFD142;EFD145
EFD151,MUSCULACAO,7,1,
EFD152,TREINAMENTO ESPORTIVO II,7,1,EFD145
EFD353,LUTAS,7,1,
EFD354,VOLEIBOL,7,1,
EFD153,GINASTICA DE ACADEMIA,8,1,
EFD154,"SEMINARIO DE TRABALHO DE CONCLUSAO DE CURSO:
 BACHARELADO",8,1,EFD146
EFD355,ATIVIDADE FISICA DE AVENTURA,8,1,
