Código,Nome,Período,Duração,Dependências
LET701,ESTUDOS CLASSICOS,1,1,
LET711,ESTUDOS LINGUISTICOS I,1,1,
LET712,PRODUCAO DE TEXTOS,1,1,
LET741,LINGUA INGLESA I,1,1,
LET771,INTRODUCAO AOS ESTUDOS LITERARIOS,1,1,
EDU238,FUNDAMENTOS DA EDUCACAO: HISTORIA,2,1,
EDU303,METODOLOGIA CIENTIFICA,2,1,
LET713,ESTUDOS LINGUISTICOS II,2,1,LET711
LET714,GENEROS DISCURSIVOS E TEXTUAIS,2,1,
LET742,LINGUA INGLESA II,2,1,LET741
LET772,LITERATURA BRASILEIRA I,2,1,
EDU236,FUNDAMENTOS DA EDUCACAO: SOCIOLOGIA,3,1,
EDU237,FUNDAMENTOS DA EDUCACAO: FILOSOFIA,3,1,
LET811,FONOLOGIA,3,1,
LET871,LITERATURA PORTUGUESA I,3,1,
EDU210,ORGANIZACAO DO TRABALHO ESCOLAR,4,1,
EDU311,POLITICA E GESTAO EDUCACIONAL,4,1,
LET813,MORFOLOGIA,4,1,
EDU208,PSICOLOGIA DA EDUCACAO I,5,1,
LET966,INTRODUCAO A LIBRAS,5,1,
EDU209,PSICOLOGIA DA EDUCACAO II,6,1,EDU208
LET812,ESTUDOS DE LEITURA,3,1,
LET872,TEORIA DA LITERATURA I,3,1,
LET814,LINGUA PORTUGUESA: DIDATICA DA LICENCIATURA,4,1,
LET873,LITERATURA BRASILEIRA II,4,1,LET772
LET874,LITERATURA PORTUGUESA II,4,1,LET871
LET585,"LINGUA PORTUGUESA: ESTAGIO SUPERVISIONADO NO
 ENSINO FUNDAMENTAL 1",5,1,LET814
LET815,SINTAXE I,5,1,LET713
LET875,TEORIA DA LITERATURA II,5,1,
LET586,"LINGUA PORTUGUESA: ESTAGIO SUPERVISIONADO NO
 ENSINO FUNDAMENTAL 2",6,1,LET585
LET818,REVISAO DE TEXTOS I,6,1,LET712
LET819,SEMANTICA,6,1,LET713
LET876,LITERATURAS AFRICANAS DE LINGUA PORTUGUESA,6,1,LET874
LET587,"LINGUA PORTUGUESA.: ESTAGIO SUPERVISIONADO NO
 ENSINO MEDIO 1",7,1,LET586
LET820,ANALISE DO DISCURSO,7,1,
LET821,SOCIOLINGUISTICA,7,1,LET713
LET826,SINTAXE II,7,1,
LET588,"LINGUA PORTUGUESA: ESTAGIO SUPERVISIONADO NO
 ENSINO MEDIO 2",8,1,LET587
LET823,PSICOLINGUISTICA,8,1,LET713
LET824,ENSINO/AVALIACAO DE LEITURA E PRODUCAO DE TEXTOS,8,1,
LET841,LINGUA INGLESA III,3,1,LET742
LET842,LINGUA INGLESA:ESTUDOS GRAMATICAIS I,3,1,LET742
LET846,LINGUA INGLESA IV,4,1,LET841
LET847,LINGUA INGLESA:FONOLOGIA I,4,1,LET841
LET848,LINGUA INGLESA:DIDATICA DA LICENCIATURA,4,1,LET841
LET589,"LINGUA INGLESA: ESTAGIO SUPERVISIONADO NO ENSINO
 FUNDAMENTAL 1",5,1,LET848
LET845,METODOLOGIA DA TRADUCAO I,5,1,LET742
LET852,LINGUA INGLESA V,5,1,LET846
LET853,INTRODUCAO A LITERATURA DE EXPRESSAO INGLESA,5,1,LET846
LET590,"LINGUA INGLESA: ESTAGIO SUPERVISIONADO NO ENSINO
 FUNDAMENTAL 2",6,1,LET589
LET849,TEORIA DA TRADUCAO I,6,1,
LET855,LINGUA INGLESA VI,6,1,LET852
LET856,LINGUA INGLESA:COMPREENSAO E EXPRESSAO ORAL I,6,1,LET852
LET591,"LINGUA INGLESA: ESTAGIO SUPERVISIONADO ENSINO
 MEDIO 1",7,1,LET590
LET854,TRADUCAO DE TEXTOS GERAIS,7,1,
LET858,LINGUA INGLESA:LEITURA E PRODUCAO DE TEXTOS I,7,1,LET846
LET592,"LINGUA INGLESA: ESTAGIO SUPERVISIONADO NO ENSINO
 MEDIO 2",8,1,LET591
LET860,LINGUA INGLESA:OFICINA DE ENSINO,8,1,LET848
